n_sample,n_feature,n_component,func,gflops
1000,3,10,sgemm,0.19134598540145986
1000,3,10,matmul,1.2424499629721057
1000,3,10,sklearn,0.2210533971628091
1000,3,100,sgemm,0.7390844052863437
1000,3,100,matmul,0.7195066401726874
1000,3,100,sklearn,1.0807740605540048
1000,10,10,sgemm,4.3129089974293064
1000,10,10,matmul,4.08602435460302
1000,10,10,sklearn,0.7248743141067185
1000,10,100,sgemm,2.702689606289065
1000,10,100,matmul,2.4118016761784284
1000,10,100,sklearn,2.540462749848577
1000,50,10,sgemm,17.768710019063757
1000,50,10,matmul,17.249862224964016
1000,50,10,sklearn,2.1441627687038314
1000,50,100,sgemm,11.354984027288971
1000,50,100,matmul,11.616800764426474
1000,50,100,sklearn,11.328455482180718
10000,3,10,sgemm,1.1246541684356357
10000,3,10,matmul,1.0708177775886645
10000,3,10,sklearn,0.6338599332535735
10000,3,100,sgemm,0.8675432249212722
10000,3,100,matmul,0.8729449349865499
10000,3,100,sklearn,1.475464874942836
10000,3,1000,sgemm,0.8337423169591351
10000,3,1000,matmul,0.8110204939924734
10000,3,1000,sklearn,1.9984422745840458
10000,10,10,sgemm,4.4410016411668165
10000,10,10,matmul,3.9741368201629714
10000,10,10,sklearn,1.2695873534775666
10000,10,100,sgemm,2.974805000913158
10000,10,100,matmul,2.9334489656040623
10000,10,100,sklearn,4.4515832541750475
10000,10,1000,sgemm,2.796042360238013
10000,10,1000,matmul,2.572898254279495
10000,10,1000,sklearn,5.7007732319573545
10000,100,10,sgemm,13.078692537359974
10000,100,10,matmul,7.840077011864874
10000,100,10,sklearn,2.479481912148522
10000,100,100,sgemm,13.652377844649545
10000,100,100,matmul,14.203980314317329
10000,100,100,sklearn,11.805729050853278
10000,100,1000,sgemm,24.633415825411426
10000,100,1000,matmul,23.73660279357415
10000,100,1000,sklearn,30.669723667098943
10000,50,10,sgemm,10.469140239869208
10000,50,10,matmul,9.640194444763667
10000,50,10,sklearn,6.573783569866857
10000,50,100,sgemm,13.529554644116892
10000,50,100,matmul,13.597914748485987
10000,50,100,sklearn,8.992981308862076
10000,50,1000,sgemm,11.449143921877404
10000,50,1000,matmul,12.904899568144868
10000,50,1000,sklearn,25.013315315191743
100000,3,10,sgemm,1.205026036616461
100000,3,10,matmul,1.251455126372192
100000,3,10,sklearn,0.6014431294572014
100000,3,100,sgemm,0.842800894180293
100000,3,100,matmul,0.7816835169108657
100000,3,100,sklearn,1.4550979231780867
100000,3,1000,sgemm,0.8008089480699799
100000,3,1000,matmul,0.7563982956302995
100000,3,1000,sklearn,1.514893339861438
100000,10,10,sgemm,3.662643784806894
100000,10,10,matmul,3.934822153112966
100000,10,10,sklearn,2.1208471649504084
100000,10,100,sgemm,2.892027590867054
100000,10,100,matmul,2.800085451826533
100000,10,100,sklearn,4.974446434289645
100000,10,1000,sgemm,2.810953520056968
100000,10,1000,matmul,2.70021280177632
100000,10,1000,sklearn,5.877499315112164
100000,50,10,sgemm,15.444367117739114
100000,50,10,matmul,15.364257429732115
100000,50,10,sklearn,6.7098879686702615
100000,50,100,sgemm,12.758909675961176
100000,50,100,matmul,11.5213049720277
100000,50,100,sklearn,17.44640786653675
100000,50,1000,sgemm,13.200124337795337
100000,50,1000,matmul,13.053649239663704
100000,50,1000,sklearn,27.70217930141343
100000,100,10,sgemm,23.696599298588563
100000,100,10,matmul,23.40362467636818
100000,100,10,sklearn,9.399816790813768
100000,100,100,sgemm,24.80112347923781
100000,100,100,matmul,24.38569040470248
100000,100,100,sklearn,31.671043709517388
100000,100,1000,sgemm,24.44127344722992
100000,100,1000,matmul,24.10620329097093
100000,100,1000,sklearn,45.028847802655676
1000000,3,10,sgemm,1.0920228100105251
1000000,3,10,matmul,0.9210649233434826
1000000,3,10,sklearn,0.543499166960652
1000000,3,100,sgemm,0.8386521852689144
1000000,3,100,matmul,0.8155606799326968
1000000,3,100,sklearn,1.3322676599822265
1000000,3,1000,sgemm,0.8106494010043078
1000000,3,1000,matmul,0.7920765865170737
1000000,3,1000,sklearn,1.6456344974511077
1000000,10,10,sgemm,3.9873856021036356
1000000,10,10,matmul,3.830774949607132
1000000,10,10,sklearn,2.1143730398160416
1000000,10,100,sgemm,2.791301652703156
1000000,10,100,matmul,2.6542447649188445
1000000,10,100,sklearn,3.7075570075129605
1000000,10,1000,sgemm,2.7914707236792267
1000000,10,1000,matmul,2.6597707500543666
1000000,10,1000,sklearn,5.25507059781815
1000000,50,10,sgemm,14.404829835962035
1000000,50,10,matmul,14.212381428061217
1000000,50,10,sklearn,6.683930908716854
1000000,50,100,sgemm,12.988562470395408
1000000,50,100,matmul,12.001110522989316
1000000,50,100,sklearn,14.714035692035594
1000000,50,1000,sgemm,13.189976541877243
1000000,50,1000,matmul,13.231719369326818
1000000,50,1000,sklearn,24.893488489124326
1000000,100,10,sgemm,23.8311170125877
1000000,100,10,matmul,22.916334805021066
1000000,100,10,sklearn,9.021111505783018
1000000,100,100,sgemm,25.351129475211177
1000000,100,100,matmul,24.7005478086073
1000000,100,100,sklearn,28.28398610894338
1000000,100,1000,sgemm,25.841344220185224
1000000,100,1000,matmul,24.887524656125727
1000000,100,1000,sklearn,41.19301620085467
